,Symbol,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2011-09-30,2011-12-31
Net Income,FRT,42986000.0,32603000.0,38644000.0,37692000.0,34588000.0,37539000.0,62098000.0,28456000.0,38753000.0,43545000.0,47075000.0,35162000.0,46186000.0,43632000.0,52447000.0,67954000.0,76955000.0,55941000.0,58977000.0,58037000.0,56190000.0,76291000.0,106777000.0,50656000.0,61247000.0,63595000.0,62558000.0,54507000.0,60144000.0,80902000.0,65465000.0,147355000.0,54763000.0,10507000.0,-28289000.0,94725000.0,48236000.0,46204000.0,52122000.0,114936000.0,51984000.0,61676000.0,156138000.0,115693000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,FRT,6150438278.5,6652857702.75,6750990967.5,6742102692.92,7002660785.84,6764481227.52,6699369852.3,6764191205.02,7716873681.6,8187779296.72,8070504360.74,9156127799.18,10110061293.36,8853682887.73,9476298857.3,10152984571.2,11057901027.45,11823126234.15,11049555496.77,10201579515.0,9643636963.5,9131864178.03,8974818019.37,9634949804.7,8498407415.86,9266166145.2,9294445090.41,8764426679.32,10251325667.85,9644896173.72,10277879906.34,9724367698.92,5642195023.44,6444699859.4,5555080474.56,6531035777.28,7883320975.7,47558834.32,9176630363.55,10562755200.0,9464819520.0,7423296640.0,6987544320.0,7834237440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,FRT,7901845278.5,8380315702.75,8482107967.5,8614141692.92,8867686785.84,8666114227.52,8577908852.3,8696304205.02,9732201681.6,10213453296.72,10109967360.74,11227334799.18,12284780293.36,10974101887.73,11706052857.3,12417193571.2,13355887027.45,14085875234.15,13469349496.77,12697512515.0,12140582963.5,11899210178.03,11894712019.37,12584262804.7,11387018415.86,12162145145.2,12203724090.41,11650516679.32,13065775667.85,12692613173.72,13388358906.34,,,,,9621305777.28,10975248975.7,3614598834.32,12861927363.55,14448170200.0,13052602520.0,10975607640.0,11138229320.0,12078072440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,FRT,1.28,1.26,1.26,1.28,1.27,1.28,1.28,1.29,1.26,1.25,1.25,1.23,1.22,1.24,1.24,1.22,1.21,1.19,1.22,1.24,1.26,1.3,1.33,1.31,1.34,1.31,1.31,1.33,1.27,1.32,1.3,,,,,1.47,1.39,76.0,1.4,1.37,1.38,1.48,1.59,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,FRT,232031000.0,233341000.0,246268000.0,246080000.0,251796000.0,251288000.0,253359000.0,264222000.0,278212000.0,267533000.0,274254000.0,281144000.0,297462000.0,286721000.0,294587000.0,309100000.0,319766000.0,315827000.0,321853000.0,324741000.0,333234000.0,333008000.0,351409000.0,364757000.0,364665000.0,359908000.0,369164000.0,387414000.0,373361000.0,367548000.0,388169000.0,387980000.0,377372000.0,315841000.0,355488000.0,373662000.0,370951000.0,384387000.0,408995000.0,433340000.0,427558000.0,434598000.0,455272000.0,468777000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,FRT,34.06,35.91,34.44,35.01,35.22,34.49,33.86,32.91,34.98,38.18,36.86,39.93,41.3,38.27,39.74,40.17,41.77,44.6,41.85,39.1,36.43,35.73,33.85,34.5,31.23,33.79,33.06,30.07,35.0,34.53,34.49,,,,,25.75,29.59,9.4,31.45,33.34,30.53,25.25,24.46,25.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,FRT,1748881001.04,1738529000.87,1807099000.49,1837334001.94,1824613002.29,1938317000.66,1934693000.56,1949369000.81,2019362000.95,1995327001.73,1991727003.0,2047511001.49,2274516000.42,2070961003.23,2170991005.57,2213635003.4,2246090003.63,2209766003.85,2449478000.71,2447711003.06,2445476003.56,2792099000.74,2871179003.13,2892945004.71,2881471001.11,2880557001.27,2879622001.71,2878658001.12,2857453000.0,3153620000.0,3273022000.0,,,,,484111004.26,466950004.37,466026011.19,457203019.18,641459021.01,339236021.57,321975019.3,889601023.3,921692039.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,FRT,29.38,22.09,24.75,24.19,22.01,23.85,39.05,17.37,22.69,25.93,27.54,19.94,24.99,24.04,28.31,35.3,38.8,28.26,29.32,28.43,27.09,36.67,48.99,22.62,27.17,28.28,27.23,23.16,25.9,35.1,27.98,61.62,23.65,5.96,-13.59,43.15,22.11,19.95,21.08,45.22,20.25,23.35,57.1,41.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,FRT,3.19,2.42,2.77,2.68,2.42,2.54,4.07,1.81,2.3,2.52,2.66,1.94,2.55,2.34,2.76,3.54,3.67,2.6,2.68,2.61,2.53,3.41,4.3,2.0,2.44,2.51,2.43,2.09,2.28,3.06,2.43,5.31,1.98,0.39,-1.1,3.53,1.76,1.66,1.89,4.0,1.78,2.0,4.93,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,6.8,5.94,5.34,4.76,5.22,5.44,4.69,3.77,4.24,3.99,6.36,7.99,10.37,8.81,6.63,6.33,6.7,7.3,6.1,6.2,6.5,6.05,5.65,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32659899.0,33050000.0,33050000.0,33050000.0,34042045.0,34042045.0,34042045.0,34520000.0,34424818.0,34468282.0,34828625.0,34932506.0,35314546.0,35434261.0,35831155.0,36357567.0,36748628.0,36968487.0,37800706.0,38130530.0,38130530.0,38494565.0,38726123.0,38726123.0,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79050000.0,58071000.0,49331000.0,51218000.0,54447000.0,57141000.0,50326000.0,64326000.0,63431000.0,69848000.0,81296000.0,83502000.0,69334000.0,65239000.0,67164000.0,63790000.0,56328000.0,68353000.0,64833000.0,64425000.0,71697000.0,65912000.0,69219000.0,38628000.0,,,,,,,,,,,,,,,,,,,,,,
Total Assets,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283361000.0,299505000.0,272433000.0,220831000.0,213504000.0,228218000.0,217127000.0,215775000.0,198132000.0,196318000.0,210539000.0,205333000.0,205175000.0,210261000.0,221835000.0,216669000.0,210968000.0,222192000.0,218832000.0,201807000.0,194876000.0,181720000.0,167195000.0,96097000.0,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45369000.0,70509000.0,79695000.0,58813000.0,54363000.0,70874000.0,60920000.0,57384000.0,47292000.0,50285000.0,65180000.0,62043000.0,59699000.0,61652000.0,65136000.0,63864000.0,63896000.0,74157000.0,68859000.0,58261000.0,59888000.0,56057000.0,59300000.0,55977000.0,,,,,,,,,,,,,,,,,,,,,,
Revenue,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40258000.0,68251000.0,63905000.0,44199000.0,52540000.0,53762000.0,54394000.0,38497000.0,36873000.0,42810000.0,53784000.0,54846000.0,55912000.0,58307000.0,61581000.0,-50049000.0,53775000.0,61316000.0,62729000.0,-43413000.0,39564000.0,39508000.0,33862000.0,-47029000.0,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19163000.0,-37671000.0,-38423000.0,-30331000.0,-25594000.0,-25696000.0,-23311000.0,-16451000.0,-16648000.0,-20921000.0,-27272000.0,-28126000.0,-26564000.0,-29783000.0,-30794000.0,15913000.0,-29774000.0,-31734000.0,-31734000.0,14306000.0,-20940000.0,-20688000.0,-16746000.0,16928000.0,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35056000.0,-45259000.0,-45521000.0,-40091000.0,-30648000.0,-29233000.0,-28375000.0,-26183000.0,-27584000.0,-26482000.0,-26970000.0,-28377000.0,-27905000.0,-26361000.0,-28528000.0,2774000.0,-30016000.0,-29595000.0,-28826000.0,7019000.0,-28995000.0,-27808000.0,-29974000.0,4648000.0,,,,,,,,,,,,,,,,,,,,,,
Net Income,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13702000.0,-13418000.0,-39451000.0,-35197000.0,-4533000.0,-4791000.0,-2978000.0,1253000.0,-9914000.0,-7620000.0,-557000.0,-3610000.0,-382000.0,296000.0,6435000.0,-6191000.0,-8098000.0,-1722000.0,221000.0,-8716000.0,-14859000.0,-12677000.0,-19084000.0,-73421000.0,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179956043.49,224740000.0,196317000.0,176487000.0,162040134.2,177699474.9,185188724.8,161898800.0,129781563.86,146145515.68,138966213.75,222170738.16,282163222.54,367453286.57,315672475.55,241050669.21,232618815.24,247688862.9,275945153.8,232596233.0,236409286.0,250214672.5,234293044.15,218802594.95,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94477000.0,151181000.0,147849000.0,114621000.0,108782000.0,108691000.0,106080000.0,81131000.0,81105000.0,90213000.0,108026000.0,111349000.0,110381000.0,114451000.0,120903000.0,-68736000.0,113565000.0,122645000.0,123289000.0,-64738000.0,89499000.0,88004000.0,80582000.0,-68605000.0,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.04,-19.66,-61.73,-79.63,-8.63,-8.91,-5.47,3.25,-26.89,-17.8,-1.04,-6.58,-0.68,0.51,10.45,12.37,-15.06,-2.81,0.35,20.08,-37.56,-32.09,-56.36,156.12,,,,,,,,,,,,,,,,,,,,,,
ROE,SIGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.76,-5.86,-20.47,-21.72,-2.85,-3.04,-1.91,0.79,-6.57,-5.22,-0.38,-2.52,-0.26,0.2,4.11,-4.05,-5.51,-1.16,0.15,-6.07,-11.01,-10.09,-17.69,-183.0,,,,,,,,,,,,,,,,,,,,,,
Close,CSII,11.39,9.85,9.25,9.79,11.56,12.55,20.48,21.2,34.29,31.79,31.16,23.63,30.08,39.04,26.45,15.84,15.12,10.37,18.38,23.74,24.21,28.28,32.23,28.15,23.69,21.93,32.34,39.14,28.49,38.66,42.93,47.52,48.59,35.21,31.55,39.35,43.76,38.34,42.65,32.83,18.78,22.6,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,CSII,17742535.0,17809332.0,18002967.0,18201216.0,20566881.0,21077637.0,21090684.0,24041826.0,29779548.0,30879514.0,31084742.0,31456377.0,31572370.0,31716032.0,31898124.0,32441609.0,32734918.0,32684195.0,32792497.0,33046180.0,33063243.0,32703971.0,32849563.0,32991788.0,34121513.0,33218275.0,33258205.0,33505560.0,34824366.0,34823048.0,34826182.0,35199895.0,35251833.0,35274479.0,39675865.0,40126883.0,40191609.0,40161715.0,40215554.0,40581871.0,40550660.0,39199593.0,39346771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,CSII,3905000.0,2337000.0,3478000.0,4678000.0,4678000.0,4678000.0,5095000.0,5095000.0,5050000.0,3600000.0,2400000.0,1200000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,CSII,8443000.0,15403000.0,14063000.0,12842000.0,11621000.0,10400000.0,7472000.0,7472000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,20818000.0,,,20663000.0,20596000.0,20527000.0,20456000.0,20385000.0,20298000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,CSII,22676000.0,24558000.0,22455000.0,35529000.0,32213000.0,29223000.0,67897000.0,67897000.0,146664000.0,145979000.0,126592000.0,116423000.0,101344000.0,93485000.0,83842000.0,76651000.0,65329000.0,62174000.0,60638000.0,58194000.0,79279000.0,103130000.0,107912000.0,104747000.0,107345000.0,109305000.0,116260000.0,113370000.0,118772000.0,115280000.0,74237000.0,58939000.0,65467000.0,69572000.0,185463000.0,92671000.0,73783000.0,75333000.0,71070000.0,66864000.0,65865000.0,66953000.0,66424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,CSII,48304000.0,52007000.0,49821000.0,63124000.0,60086000.0,56647000.0,96897000.0,96897000.0,181004000.0,185489000.0,181901000.0,182353000.0,180609000.0,178626000.0,171328000.0,162390000.0,151225000.0,145009000.0,142406000.0,138334000.0,158720000.0,186857000.0,193940000.0,190357000.0,190064000.0,194759000.0,203352000.0,200310000.0,207187000.0,211229000.0,218577000.0,217065000.0,224192000.0,220078000.0,339519000.0,341723000.0,348936000.0,346935000.0,352567000.0,332270000.0,326400000.0,323991000.0,322677000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,CSII,24959000.0,30107000.0,30482000.0,30935000.0,31100000.0,27489000.0,30065000.0,30065000.0,24927000.0,29177000.0,29846000.0,33906000.0,32454000.0,35887000.0,31893000.0,31778000.0,29950000.0,43238000.0,41509000.0,35390000.0,46644000.0,73375000.0,75551000.0,70254000.0,66104000.0,68303000.0,68882000.0,66331000.0,68589000.0,69616000.0,70633000.0,74991000.0,80887000.0,76902000.0,70727000.0,73318000.0,75104000.0,76484000.0,81609000.0,69078000.0,66875000.0,70493000.0,73197000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,CSII,18660000.0,19718000.0,21205000.0,22907000.0,23293000.0,25309000.0,26474000.0,28821000.0,29766000.0,32337000.0,34945000.0,39564000.0,41354000.0,44732000.0,47004000.0,48454000.0,43871000.0,41392000.0,44461000.0,48460000.0,49800000.0,50043000.0,52144000.0,52919000.0,49676000.0,52628000.0,55587000.0,59152000.0,56266000.0,60206000.0,63311000.0,68234000.0,64490000.0,68334000.0,61175000.0,42546000.0,60544000.0,64169000.0,63273000.0,70987000.0,58370000.0,59135000.0,56221000.0,62496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,CSII,-4346000.0,-4560000.0,-5132000.0,-5178000.0,-5254000.0,-5958000.0,-6241000.0,-6929000.0,-6864000.0,-7313000.0,-7749000.0,-9115000.0,-8885000.0,-9346000.0,-10416000.0,-10873000.0,-8771000.0,-8071000.0,-8725000.0,-9854000.0,-9466000.0,-9163000.0,-11139000.0,-9673000.0,-9202000.0,-9499000.0,-9969000.0,-10814000.0,-10575000.0,-11477000.0,-12166000.0,-13462000.0,-12672000.0,-13718000.0,-12225000.0,-10144000.0,-12564000.0,-13920000.0,-14013000.0,-20634000.0,-14308000.0,-18073000.0,-14790000.0,-16269000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,CSII,-17414000.0,-18817000.0,-19794000.0,-21715000.0,-23245000.0,-24473000.0,-25643000.0,-28573000.0,-29749000.0,-32519000.0,-36789000.0,-40003000.0,-40659000.0,-40638000.0,-47230000.0,-46134000.0,-48336000.0,-48464000.0,-48086000.0,-43590000.0,-42201000.0,-39798000.0,-42764000.0,-42244000.0,-42226000.0,-43404000.0,-45129000.0,-44566000.0,-48659000.0,-48345000.0,-50638000.0,-53520000.0,-57751000.0,-57990000.0,-51685000.0,-47132000.0,-49638000.0,-49966000.0,-54909000.0,-55262000.0,-52177000.0,-49621000.0,-51078000.0,-55712000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,CSII,-3859000.0,-4135000.0,-4191000.0,-4605000.0,-5210000.0,-5767000.0,-6219000.0,-6841000.0,-7292000.0,-8658000.0,-9712000.0,-9628000.0,-8224000.0,-5273000.0,-10656000.0,-8669000.0,-13261000.0,-15165000.0,-22714000.0,-4884000.0,-1858000.0,1043000.0,-1749000.0,772000.0,-1977000.0,-413000.0,365000.0,3737000.0,-2888000.0,492000.0,672000.0,1469000.0,-5780000.0,-3401000.0,-2889000.0,-15166000.0,-2076000.0,-56000.0,-6004000.0,-5285000.0,-8618000.0,-8967000.0,-9658000.0,-9690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
